"Name","H","AB","BA","Rating"
"Alex Torres",0,1,0,0.32257535052749
"Carlos Torres",1,1,1,0.649562005177572
"Ronald Torreyes",2,6,0.333333333333333,0.372779282670972
"Devon Travis",66,217,0.304147465437788,0.494404809064319
"Blake Treinen",0,2,0,0.241931512895618
"Mike Trout",172,575,0.299130434782609,0.788483696830925
"Mark Trumbo",133,508,0.261811023622047,0.655615798226371
"Chin-hui Tsao",1,1,1,0.64687104243727
"Preston Tucker",73,300,0.243333333333333,0.424349178657222
"Troy Tulowitzki",136,486,0.279835390946502,0.695183699075507
"Justin Turner",113,385,0.293506493506493,0.62969593235017
"Trea Turner",9,40,0.225,0.294256163675253
"Dan Uggla",22,121,0.181818181818182,0.319822499325098
"Melvin Upton",53,205,0.258536585365854,0.448964856166156
"Justin Upton",136,542,0.250922509225092,0.65835407557487
"Jose Urena",1,13,0.0769230769230769,0.13058231408586
"Juan Uribe",91,359,0.253481894150418,0.529939939489221
"Henry Urrutia",9,34,0.264705882352941,0.291303149613882
"Giovanny Urshela",60,267,0.224719101123595,0.37743087788104
"Chase Utley",79,373,0.211796246648794,0.442093702243448
"Luis Valbuena",97,434,0.223502304147465,0.480615595111442
"Jordany Valdespin",0,4,0,0.161287675263745
"Danny Valencia",100,345,0.289855072463768,0.706106550769101
"Scott Van Slyke",53,222,0.238738738738739,0.406526207330265
"Kennys Vargas",42,175,0.24,0.350769956060129
"Will Venable",85,349,0.243553008595989,0.51381734537806
"Pat Venditte",0,1,0,0.32257535052749
"Yordano Ventura",0,6,0,0.120965756447809
"Logan Verrett",0,7,0,0.107525116842497
"Shane Victorino",41,178,0.230337078651685,0.395825324935074
"Carlos Villanueva",0,8,0,0.096772605158247
"Jonathan Villar",33,116,0.28448275862069,0.420999482920049
"Pedro Villarreal",1,6,0.166666666666667,0.248504867252321
"Ryan Vogelsong",5,36,0.138888888888889,0.163645615893466
"Stephen Vogt",116,445,0.260674157303371,0.584974813711103
"Edinson Volquez",0,6,0,0.120965756447809
"Joey Votto",171,545,0.313761467889908,0.919110430510548
"Michael Wacha",8,52,0.153846153846154,0.215137951475122
"Tsuyoshi Wada",0,8,0,0.096772605158247
"Tyler Wagner",0,3,0,0.193545210316494
"Adam Wainwright",0,10,0,0.0806438376318725
"Kyle Waldrop",0,1,0,0.32257535052749
"Christian Walker",1,9,0.111111111111111,0.177642717480279
"Neil Walker",146,543,0.268876611418048,0.759279861662799
"Taijuan Walker",1,9,0.111111111111111,0.177880013709834
"Brett Wallace",29,96,0.302083333333333,0.399139424253131
"Zach Walters",4,30,0.133333333333333,0.159400538749161
"Adam Warren",0,3,0,0.193545210316494
"Jered Weaver",0,2,0,0.241931512895618
"Ryan Weber",0,10,0,0.0806438376318725
"Allen Webster",0,11,0,0.0744404655063439
"Jemile Weeks",3,9,0.333333333333333,0.361417058615862
"Rickie Weeks",14,84,0.166666666666667,0.243272594535045
"Jayson Werth",73,331,0.220543806646526,0.485437581137228
"Joe Wieland",0,1,0,0.32257535052749
"Matt Wieters",69,258,0.267441860465116,0.465851979848521
"Jerome Williams",2,31,0.0645161290322581,0.0930618385208102
"Jackson Williams",2,10,0.2,0.261131895728734
"Mason Williams",6,21,0.285714285714286,0.307913846391072
